t,x,dx,y,yApp,yFD
0.000e+00,0.000e+00,1.000e+00,-1.243e-02,0.000e+00,-0.000e+00
2.000e-02,2.000e-02,9.998e-01,3.111e-03,0.000e+00,7.768e-01
4.000e-02,3.999e-02,9.992e-01,1.568e-02,0.000e+00,6.283e-01
6.000e-02,5.996e-02,9.982e-01,4.759e-02,0.000e+00,1.596e+00
8.000e-02,7.991e-02,9.968e-01,1.274e-01,0.000e+00,3.988e+00
1.000e-01,9.983e-02,9.950e-01,7.606e-02,0.000e+00,-2.565e+00
1.200e-01,1.197e-01,9.928e-01,1.030e-01,0.000e+00,1.347e+00
1.400e-01,1.395e-01,9.902e-01,1.647e-01,3.630e-01,3.086e+00
1.600e-01,1.593e-01,9.872e-01,1.447e-01,5.686e-01,-1.002e+00
1.800e-01,1.790e-01,9.838e-01,1.792e-01,7.702e-01,1.725e+00
2.000e-01,1.987e-01,9.801e-01,1.912e-01,9.302e-01,6.023e-01
2.200e-01,2.182e-01,9.759e-01,2.209e-01,1.026e+00,1.486e+00
2.400e-01,2.377e-01,9.713e-01,2.309e-01,1.052e+00,4.994e-01
2.600e-01,2.571e-01,9.664e-01,2.873e-01,1.029e+00,2.818e+00
2.800e-01,2.764e-01,9.611e-01,2.960e-01,9.895e-01,4.372e-01
3.000e-01,2.955e-01,9.553e-01,2.670e-01,9.808e-01,-1.451e+00
3.200e-01,3.146e-01,9.492e-01,3.194e-01,1.012e+00,2.620e+00
3.400e-01,3.335e-01,9.428e-01,3.341e-01,1.046e+00,7.364e-01
3.600e-01,3.523e-01,9.359e-01,3.506e-01,1.050e+00,8.219e-01
3.800e-01,3.709e-01,9.287e-01,3.907e-01,1.019e+00,2.005e+00
4.000e-01,3.894e-01,9.211e-01,4.119e-01,9.877e-01,1.064e+00
4.200e-01,4.078e-01,9.131e-01,4.031e-01,9.641e-01,-4.418e-01
4.400e-01,4.259e-01,9.048e-01,4.536e-01,9.530e-01,2.522e+00
4.600e-01,4.439e-01,8.961e-01,4.356e-01,9.615e-01,-8.953e-01
4.800e-01,4.618e-01,8.870e-01,4.574e-01,9.869e-01,1.085e+00
5.000e-01,4.794e-01,8.776e-01,4.607e-01,1.009e+00,1.657e-01
5.200e-01,4.969e-01,8.678e-01,4.946e-01,1.005e+00,1.695e+00
5.400e-01,5.141e-01,8.577e-01,5.163e-01,9.573e-01,1.086e+00
5.600e-01,5.312e-01,8.473e-01,5.378e-01,8.712e-01,1.076e+00
5.800e-01,5.480e-01,8.365e-01,5.458e-01,7.931e-01,4.015e-01
6.000e-01,5.646e-01,8.253e-01,5.440e-01,7.613e-01,-9.360e-02
6.200e-01,5.810e-01,8.139e-01,5.492e-01,7.668e-01,2.594e-01
