w,A,u,m,p
1.000e+00,-8.686e-05,8.954e+01,0.000e+00,-1.000e-02
3.502e+00,-1.065e-03,6.777e+01,0.000e+00,-3.502e-02
6.004e+00,-3.131e-03,5.841e+01,0.000e+00,-6.004e-02
8.506e+00,-6.285e-03,5.235e+01,0.000e+00,-8.506e-02
1.101e+01,-1.053e-02,4.787e+01,0.000e+00,-1.101e-01
1.351e+01,-1.586e-02,4.432e+01,0.000e+00,-1.351e-01
1.601e+01,-2.228e-02,4.137e+01,0.000e+00,-1.601e-01
1.851e+01,-2.978e-02,3.884e+01,0.000e+00,-1.851e-01
2.102e+01,-3.838e-02,3.664e+01,0.000e+00,-2.102e-01
2.352e+01,-4.807e-02,3.469e+01,0.000e+00,-2.352e-01
2.602e+01,-5.886e-02,3.293e+01,0.000e+00,-2.602e-01
2.852e+01,-7.074e-02,3.134e+01,0.000e+00,-2.852e-01
3.102e+01,-8.371e-02,2.988e+01,0.000e+00,-3.102e-01
3.352e+01,-9.778e-02,2.853e+01,0.000e+00,-3.352e-01
3.603e+01,-1.129e-01,2.728e+01,0.000e+00,-3.603e-01
3.853e+01,-1.292e-01,2.611e+01,0.000e+00,-3.853e-01
4.103e+01,-1.466e-01,2.502e+01,0.000e+00,-4.103e-01
4.353e+01,-1.650e-01,2.399e+01,0.000e+00,-4.353e-01
4.603e+01,-1.846e-01,2.302e+01,0.000e+00,-4.603e-01
4.854e+01,-2.053e-01,2.210e+01,0.000e+00,-4.854e-01
5.104e+01,-2.271e-01,2.123e+01,0.000e+00,-5.104e-01
5.354e+01,-2.500e-01,2.040e+01,0.000e+00,-5.354e-01
5.604e+01,-2.740e-01,1.960e+01,0.000e+00,-5.604e-01
5.854e+01,-2.992e-01,1.884e+01,0.000e+00,-5.854e-01
6.105e+01,-3.254e-01,1.812e+01,0.000e+00,-6.105e-01
6.355e+01,-3.528e-01,1.742e+01,0.000e+00,-6.355e-01
6.605e+01,-3.813e-01,1.675e+01,0.000e+00,-6.605e-01
6.855e+01,-4.109e-01,1.610e+01,0.000e+00,-6.855e-01
7.105e+01,-4.417e-01,1.548e+01,0.000e+00,-7.105e-01
7.355e+01,-4.736e-01,1.488e+01,0.000e+00,-7.355e-01
7.606e+01,-5.067e-01,1.430e+01,0.000e+00,-7.606e-01
7.856e+01,-5.409e-01,1.373e+01,0.000e+00,-7.856e-01
8.106e+01,-5.762e-01,1.319e+01,0.000e+00,-8.106e-01
8.356e+01,-6.127e-01,1.266e+01,0.000e+00,-8.356e-01
8.606e+01,-6.503e-01,1.215e+01,0.000e+00,-8.606e-01
8.857e+01,-6.891e-01,1.165e+01,0.000e+00,-8.857e-01
9.107e+01,-7.291e-01,1.117e+01,0.000e+00,-9.107e-01
9.357e+01,-7.702e-01,1.070e+01,0.000e+00,-9.357e-01
9.607e+01,-8.126e-01,1.024e+01,0.000e+00,-9.607e-01
9.857e+01,-8.560e-01,9.792e+00,0.000e+00,-9.857e-01
1.011e+02,-9.007e-01,9.357e+00,0.000e+00,-1.011e+00
1.036e+02,-9.466e-01,8.932e+00,0.000e+00,-1.036e+00
1.061e+02,-9.937e-01,8.517e+00,0.000e+00,-1.061e+00
1.086e+02,-1.042e+00,8.112e+00,0.000e+00,-1.086e+00
1.111e+02,-1.091e+00,7.717e+00,0.000e+00,-1.111e+00
1.136e+02,-1.142e+00,7.330e+00,0.000e+00,-1.136e+00
1.161e+02,-1.194e+00,6.951e+00,0.000e+00,-1.161e+00
1.186e+02,-1.247e+00,6.581e+00,0.000e+00,-1.186e+00
1.211e+02,-1.301e+00,6.218e+00,0.000e+00,-1.211e+00
1.236e+02,-1.357e+00,5.863e+00,-1.578e-01,-1.236e+00
1.261e+02,-1.414e+00,5.515e+00,-5.059e-01,-1.261e+00
1.286e+02,-1.472e+00,5.173e+00,-8.472e-01,-1.286e+00
1.311e+02,-1.531e+00,4.839e+00,-1.182e+00,-1.311e+00
1.336e+02,-1.592e+00,4.510e+00,-1.510e+00,-1.336e+00
