w,A,p
0.000e+00,1.000e+00,0.000e+00
2.002e-01,1.000e+00,-1.821e-02
4.004e-01,9.999e-01,-3.642e-02
6.006e-01,9.998e-01,-5.462e-02
8.008e-01,9.996e-01,-7.283e-02
1.001e+00,9.994e-01,-9.104e-02
1.201e+00,9.991e-01,-1.092e-01
1.401e+00,9.988e-01,-1.275e-01
1.602e+00,9.985e-01,-1.457e-01
1.802e+00,9.981e-01,-1.639e-01
2.002e+00,9.976e-01,-1.821e-01
2.202e+00,9.971e-01,-2.003e-01
2.402e+00,9.966e-01,-2.185e-01
2.603e+00,9.960e-01,-2.367e-01
2.803e+00,9.954e-01,-2.549e-01
3.003e+00,9.947e-01,-2.731e-01
3.203e+00,9.940e-01,-2.913e-01
3.403e+00,9.932e-01,-3.095e-01
3.604e+00,9.924e-01,-3.277e-01
3.804e+00,9.915e-01,-3.460e-01
4.004e+00,9.906e-01,-3.642e-01
4.204e+00,9.896e-01,-3.824e-01
4.404e+00,9.886e-01,-4.006e-01
4.605e+00,9.875e-01,-4.188e-01
4.805e+00,9.864e-01,-4.370e-01
5.005e+00,9.853e-01,-4.552e-01
5.205e+00,9.841e-01,-4.734e-01
5.405e+00,9.829e-01,-4.916e-01
5.606e+00,9.816e-01,-5.098e-01
5.806e+00,9.802e-01,-5.280e-01
6.006e+00,9.789e-01,-5.462e-01
6.206e+00,9.774e-01,-5.645e-01
6.406e+00,9.760e-01,-5.827e-01
6.607e+00,9.745e-01,-6.009e-01
6.807e+00,9.729e-01,-6.191e-01
7.007e+00,9.713e-01,-6.373e-01
7.207e+00,9.697e-01,-6.555e-01
7.407e+00,9.680e-01,-6.737e-01
7.608e+00,9.663e-01,-6.919e-01
7.808e+00,9.645e-01,-7.101e-01
8.008e+00,9.627e-01,-7.283e-01
8.208e+00,9.608e-01,-7.465e-01
8.408e+00,9.589e-01,-7.647e-01
8.609e+00,9.570e-01,-7.830e-01
8.809e+00,9.550e-01,-8.012e-01
9.009e+00,9.529e-01,-8.194e-01
9.209e+00,9.509e-01,-8.376e-01
9.409e+00,9.487e-01,-8.558e-01
9.610e+00,9.466e-01,-8.740e-01
9.810e+00,9.444e-01,-8.922e-01
1.001e+01,9.421e-01,-9.104e-01
1.021e+01,9.399e-01,-9.286e-01
1.041e+01,9.375e-01,-9.468e-01
1.061e+01,9.352e-01,-9.650e-01
1.081e+01,9.328e-01,-9.832e-01
1.101e+01,9.303e-01,-1.001e+00
1.121e+01,9.278e-01,-1.020e+00
1.141e+01,9.253e-01,-1.038e+00
1.161e+01,9.228e-01,-1.056e+00
1.181e+01,9.202e-01,-1.074e+00
1.201e+01,9.175e-01,-1.092e+00
1.221e+01,9.148e-01,-1.111e+00
1.241e+01,9.121e-01,-1.129e+00
1.261e+01,9.094e-01,-1.147e+00
1.281e+01,9.066e-01,-1.165e+00
1.301e+01,9.038e-01,-1.184e+00
1.321e+01,9.009e-01,-1.202e+00
1.341e+01,8.980e-01,-1.220e+00
1.361e+01,8.951e-01,-1.238e+00
1.381e+01,8.921e-01,-1.256e+00
1.401e+01,8.891e-01,-1.275e+00
1.421e+01,8.860e-01,-1.293e+00
1.441e+01,8.829e-01,-1.311e+00
1.461e+01,8.798e-01,-1.329e+00
1.481e+01,8.767e-01,-1.347e+00
1.502e+01,8.735e-01,-1.366e+00
1.522e+01,8.703e-01,-1.384e+00
1.542e+01,8.670e-01,-1.402e+00
1.562e+01,8.638e-01,-1.420e+00
1.582e+01,8.604e-01,-1.438e+00
1.602e+01,8.571e-01,-1.457e+00
1.622e+01,8.537e-01,-1.475e+00
1.642e+01,8.503e-01,-1.493e+00
1.662e+01,8.469e-01,-1.511e+00
1.682e+01,8.434e-01,-1.529e+00
1.702e+01,8.399e-01,-1.548e+00
1.722e+01,8.363e-01,-1.566e+00
1.742e+01,8.328e-01,-1.584e+00
1.762e+01,8.292e-01,-1.602e+00
1.782e+01,8.256e-01,-1.621e+00
1.802e+01,8.219e-01,-1.639e+00
1.822e+01,8.182e-01,-1.657e+00
1.842e+01,8.145e-01,-1.675e+00
1.862e+01,8.108e-01,-1.693e+00
1.882e+01,8.070e-01,-1.712e+00
1.902e+01,8.033e-01,-1.730e+00
1.922e+01,7.994e-01,-1.748e+00
1.942e+01,7.956e-01,-1.766e+00
1.962e+01,7.917e-01,-1.784e+00
1.982e+01,7.878e-01,-1.803e+00
2.002e+01,7.839e-01,-1.821e+00
2.022e+01,7.800e-01,-1.839e+00
2.042e+01,7.760e-01,-1.857e+00
2.062e+01,7.720e-01,-1.875e+00
2.082e+01,7.680e-01,-1.894e+00
2.102e+01,7.640e-01,-1.912e+00
2.122e+01,7.599e-01,-1.930e+00
2.142e+01,7.559e-01,-1.948e+00
2.162e+01,7.518e-01,-1.966e+00
2.182e+01,7.477e-01,-1.985e+00
2.202e+01,7.435e-01,-2.003e+00
2.222e+01,7.394e-01,-2.021e+00
2.242e+01,7.352e-01,-2.039e+00
2.262e+01,7.310e-01,-2.058e+00
2.282e+01,7.268e-01,-2.076e+00
2.302e+01,7.225e-01,-2.094e+00
2.322e+01,7.183e-01,-2.112e+00
2.342e+01,7.140e-01,-2.130e+00
2.362e+01,7.097e-01,-2.149e+00
2.382e+01,7.054e-01,-2.167e+00
2.402e+01,7.011e-01,-2.185e+00
2.422e+01,6.967e-01,-2.203e+00
2.442e+01,6.924e-01,-2.221e+00
2.462e+01,6.880e-01,-2.240e+00
2.482e+01,6.836e-01,-2.258e+00
2.503e+01,6.792e-01,-2.276e+00
2.523e+01,6.748e-01,-2.294e+00
2.543e+01,6.704e-01,-2.312e+00
2.563e+01,6.660e-01,-2.331e+00
2.583e+01,6.615e-01,-2.349e+00
2.603e+01,6.571e-01,-2.367e+00
2.623e+01,6.526e-01,-2.385e+00
2.643e+01,6.481e-01,-2.403e+00
2.663e+01,6.436e-01,-2.422e+00
2.683e+01,6.391e-01,-2.440e+00
2.703e+01,6.346e-01,-2.458e+00
2.723e+01,6.301e-01,-2.476e+00
2.743e+01,6.255e-01,-2.495e+00
2.763e+01,6.210e-01,-2.513e+00
2.783e+01,6.164e-01,-2.531e+00
2.803e+01,6.119e-01,-2.549e+00
2.823e+01,6.073e-01,-2.567e+00
2.843e+01,6.027e-01,-2.586e+00
2.863e+01,5.982e-01,-2.604e+00
2.883e+01,5.936e-01,-2.622e+00
2.903e+01,5.890e-01,-2.640e+00
2.923e+01,5.844e-01,-2.658e+00
2.943e+01,5.798e-01,-2.677e+00
2.963e+01,5.752e-01,-2.695e+00
2.983e+01,5.706e-01,-2.713e+00
3.003e+01,5.660e-01,-2.731e+00
3.023e+01,5.613e-01,-2.749e+00
3.043e+01,5.567e-01,-2.768e+00
3.063e+01,5.521e-01,-2.786e+00
3.083e+01,5.475e-01,-2.804e+00
3.103e+01,5.428e-01,-2.822e+00
3.123e+01,5.382e-01,-2.840e+00
3.143e+01,5.336e-01,-2.859e+00
3.163e+01,5.290e-01,-2.877e+00
3.183e+01,5.243e-01,-2.895e+00
3.203e+01,5.197e-01,-2.913e+00
3.223e+01,5.151e-01,-2.932e+00
3.243e+01,5.105e-01,-2.950e+00
3.263e+01,5.059e-01,-2.968e+00
3.283e+01,5.012e-01,-2.986e+00
3.303e+01,4.966e-01,-3.004e+00
3.323e+01,4.920e-01,-3.023e+00
3.343e+01,4.874e-01,-3.041e+00
3.363e+01,4.828e-01,-3.059e+00
3.383e+01,4.782e-01,-3.077e+00
3.403e+01,4.736e-01,-3.095e+00
3.423e+01,4.690e-01,-3.114e+00
3.443e+01,4.644e-01,-3.132e+00
3.463e+01,4.598e-01,-3.150e+00
3.483e+01,4.553e-01,-3.168e+00
3.504e+01,4.507e-01,-3.186e+00
3.524e+01,4.462e-01,-3.205e+00
3.544e+01,4.416e-01,-3.223e+00
3.564e+01,4.371e-01,-3.241e+00
3.584e+01,4.325e-01,-3.259e+00
3.604e+01,4.280e-01,-3.277e+00
3.624e+01,4.235e-01,-3.296e+00
3.644e+01,4.190e-01,-3.314e+00
3.664e+01,4.145e-01,-3.332e+00
3.684e+01,4.100e-01,-3.350e+00
3.704e+01,4.055e-01,-3.369e+00
3.724e+01,4.010e-01,-3.387e+00
3.744e+01,3.966e-01,-3.405e+00
3.764e+01,3.921e-01,-3.423e+00
3.784e+01,3.877e-01,-3.441e+00
3.804e+01,3.833e-01,-3.460e+00
3.824e+01,3.789e-01,-3.478e+00
3.844e+01,3.745e-01,-3.496e+00
3.864e+01,3.701e-01,-3.514e+00
3.884e+01,3.657e-01,-3.532e+00
3.904e+01,3.613e-01,-3.551e+00
3.924e+01,3.570e-01,-3.569e+00
3.944e+01,3.527e-01,-3.587e+00
3.964e+01,3.484e-01,-3.605e+00
3.984e+01,3.441e-01,-3.623e+00
4.004e+01,3.398e-01,-3.642e+00
4.024e+01,3.355e-01,-3.660e+00
4.044e+01,3.313e-01,-3.678e+00
4.064e+01,3.270e-01,-3.696e+00
4.084e+01,3.228e-01,-3.714e+00
4.104e+01,3.186e-01,-3.733e+00
4.124e+01,3.144e-01,-3.751e+00
4.144e+01,3.102e-01,-3.769e+00
4.164e+01,3.061e-01,-3.787e+00
4.184e+01,3.020e-01,-3.806e+00
4.204e+01,2.978e-01,-3.824e+00
4.224e+01,2.938e-01,-3.842e+00
4.244e+01,2.897e-01,-3.860e+00
4.264e+01,2.856e-01,-3.878e+00
4.284e+01,2.816e-01,-3.897e+00
4.304e+01,2.776e-01,-3.915e+00
4.324e+01,2.736e-01,-3.933e+00
4.344e+01,2.696e-01,-3.951e+00
4.364e+01,2.656e-01,-3.969e+00
4.384e+01,2.617e-01,-3.988e+00
4.404e+01,2.578e-01,-4.006e+00
4.424e+01,2.539e-01,-4.024e+00
4.444e+01,2.500e-01,-4.042e+00
4.464e+01,2.461e-01,-4.060e+00
4.484e+01,2.423e-01,-4.079e+00
4.505e+01,2.385e-01,-4.097e+00
4.525e+01,2.347e-01,-4.115e+00
4.545e+01,2.310e-01,-4.133e+00
4.565e+01,2.272e-01,-4.151e+00
4.585e+01,2.235e-01,-4.170e+00
4.605e+01,2.198e-01,-4.188e+00
4.625e+01,2.161e-01,-4.206e+00
4.645e+01,2.125e-01,-4.224e+00
4.665e+01,2.088e-01,-4.243e+00
4.685e+01,2.052e-01,-4.261e+00
4.705e+01,2.017e-01,-4.279e+00
4.725e+01,1.981e-01,-4.297e+00
4.745e+01,1.946e-01,-4.315e+00
4.765e+01,1.911e-01,-4.334e+00
4.785e+01,1.876e-01,-4.352e+00
4.805e+01,1.841e-01,-4.370e+00
4.825e+01,1.807e-01,-4.388e+00
4.845e+01,1.773e-01,-4.406e+00
4.865e+01,1.739e-01,-4.425e+00
4.885e+01,1.706e-01,-4.443e+00
