w,A_A,p_A,A_B,p_B
1.000e+00,-7.941e-09,-1.106e-02,2.171e-03,-4.760e-06
2.250e+00,-2.036e-07,-2.488e-02,1.098e-02,-5.417e-05
3.501e+00,-1.192e-06,-3.871e-02,2.650e-02,-2.034e-04
4.751e+00,-4.043e-06,-5.254e-02,4.863e-02,-5.066e-04
6.001e+00,-1.029e-05,-6.638e-02,7.724e-02,-1.016e-03
7.252e+00,-2.192e-05,-8.022e-02,1.121e-01,-1.783e-03
8.502e+00,-4.139e-05,-9.408e-02,1.531e-01,-2.854e-03
9.752e+00,-7.160e-05,-1.079e-01,1.999e-01,-4.274e-03
1.100e+01,-1.159e-04,-1.218e-01,2.523e-01,-6.084e-03
1.225e+01,-1.781e-04,-1.357e-01,3.099e-01,-8.321e-03
1.350e+01,-2.624e-04,-1.496e-01,3.725e-01,-1.102e-02
1.475e+01,-3.735e-04,-1.635e-01,4.396e-01,-1.421e-02
1.600e+01,-5.165e-04,-1.775e-01,5.110e-01,-1.792e-02
1.725e+01,-6.968e-04,-1.914e-01,5.864e-01,-2.217e-02
1.850e+01,-9.205e-04,-2.054e-01,6.652e-01,-2.697e-02
1.975e+01,-1.194e-03,-2.194e-01,7.473e-01,-3.234e-02
2.101e+01,-1.523e-03,-2.335e-01,8.322e-01,-3.830e-02
2.226e+01,-1.916e-03,-2.475e-01,9.196e-01,-4.485e-02
2.351e+01,-2.380e-03,-2.616e-01,1.009e+00,-5.199e-02
2.476e+01,-2.922e-03,-2.757e-01,1.101e+00,-5.973e-02
2.601e+01,-3.552e-03,-2.899e-01,1.194e+00,-6.807e-02
2.726e+01,-4.276e-03,-3.040e-01,1.288e+00,-7.699e-02
2.851e+01,-5.105e-03,-3.182e-01,1.383e+00,-8.651e-02
2.976e+01,-6.047e-03,-3.325e-01,1.479e+00,-9.661e-02
3.101e+01,-7.112e-03,-3.467e-01,1.575e+00,-1.073e-01
3.226e+01,-8.309e-03,-3.610e-01,1.671e+00,-1.185e-01
3.351e+01,-9.649e-03,-3.754e-01,1.767e+00,-1.303e-01
3.476e+01,-1.114e-02,-3.898e-01,1.863e+00,-1.426e-01
3.601e+01,-1.280e-02,-4.042e-01,1.959e+00,-1.555e-01
3.726e+01,-1.463e-02,-4.186e-01,2.054e+00,-1.688e-01
3.851e+01,-1.664e-02,-4.331e-01,2.148e+00,-1.827e-01
3.976e+01,-1.885e-02,-4.477e-01,2.241e+00,-1.971e-01
4.101e+01,-2.127e-02,-4.622e-01,2.333e+00,-2.119e-01
4.226e+01,-2.391e-02,-4.769e-01,2.424e+00,-2.272e-01
4.351e+01,-2.678e-02,-4.915e-01,2.513e+00,-2.429e-01
4.476e+01,-2.989e-02,-5.062e-01,2.601e+00,-2.591e-01
4.601e+01,-3.326e-02,-5.210e-01,2.687e+00,-2.757e-01
4.726e+01,-3.689e-02,-5.358e-01,2.772e+00,-2.926e-01
4.851e+01,-4.081e-02,-5.506e-01,2.854e+00,-3.100e-01
4.976e+01,-4.501e-02,-5.655e-01,2.935e+00,-3.278e-01
5.101e+01,-4.952e-02,-5.805e-01,3.014e+00,-3.459e-01
5.226e+01,-5.435e-02,-5.955e-01,3.091e+00,-3.644e-01
5.351e+01,-5.951e-02,-6.105e-01,3.166e+00,-3.832e-01
5.476e+01,-6.502e-02,-6.256e-01,3.239e+00,-4.023e-01
5.601e+01,-7.088e-02,-6.407e-01,3.310e+00,-4.218e-01
