w,A_C,A_D,N_D
0.000e+00,1.000e+00,1.000e+00,1.005e+00
4.543e-03,1.000e+00,1.000e+00,1.005e+00
9.087e-03,1.000e+00,1.000e+00,1.005e+00
1.363e-02,1.000e+00,1.000e+00,1.005e+00
1.817e-02,1.000e+00,1.000e+00,1.005e+00
2.272e-02,1.000e+00,1.000e+00,1.005e+00
2.726e-02,1.000e+00,1.000e+00,1.005e+00
3.180e-02,1.000e+00,1.000e+00,1.005e+00
3.635e-02,1.000e+00,1.000e+00,1.005e+00
4.089e-02,1.000e+00,1.000e+00,1.005e+00
4.543e-02,1.000e+00,1.000e+00,1.005e+00
4.998e-02,1.000e+00,1.000e+00,1.005e+00
5.452e-02,1.000e+00,1.000e+00,1.005e+00
5.906e-02,1.000e+00,1.000e+00,1.005e+00
6.361e-02,1.000e+00,1.000e+00,1.005e+00
6.815e-02,1.000e+00,1.000e+00,1.005e+00
7.269e-02,1.000e+00,1.000e+00,1.005e+00
7.724e-02,1.000e+00,1.000e+00,1.005e+00
8.178e-02,1.000e+00,1.000e+00,1.005e+00
8.632e-02,1.000e+00,1.000e+00,1.005e+00
9.087e-02,1.000e+00,1.000e+00,1.005e+00
9.541e-02,1.000e+00,1.000e+00,1.005e+00
9.995e-02,1.000e+00,1.000e+00,1.005e+00
1.045e-01,1.000e+00,1.000e+00,1.005e+00
1.090e-01,1.000e+00,1.000e+00,1.005e+00
1.136e-01,1.000e+00,1.000e+00,1.005e+00
1.181e-01,1.000e+00,1.000e+00,1.005e+00
1.227e-01,1.000e+00,1.000e+00,1.005e+00
1.272e-01,1.000e+00,1.000e+00,1.005e+00
1.318e-01,1.000e+00,1.000e+00,1.005e+00
1.363e-01,1.000e+00,1.000e+00,1.005e+00
1.408e-01,9.999e-01,1.000e+00,1.005e+00
1.454e-01,9.999e-01,1.000e+00,1.005e+00
1.499e-01,9.999e-01,1.000e+00,1.005e+00
1.545e-01,9.999e-01,1.000e+00,1.005e+00
1.590e-01,9.999e-01,1.000e+00,1.005e+00
1.636e-01,9.999e-01,1.000e+00,1.005e+00
1.681e-01,9.999e-01,1.000e+00,1.005e+00
1.726e-01,9.999e-01,1.000e+00,1.005e+00
1.772e-01,9.999e-01,1.000e+00,1.005e+00
1.817e-01,9.999e-01,1.000e+00,1.005e+00
1.863e-01,9.998e-01,1.000e+00,1.005e+00
1.908e-01,9.998e-01,1.000e+00,1.005e+00
1.954e-01,9.998e-01,1.000e+00,1.005e+00
1.999e-01,9.998e-01,1.000e+00,1.005e+00
2.045e-01,9.998e-01,1.000e+00,1.005e+00
2.090e-01,9.997e-01,1.000e+00,1.005e+00
2.135e-01,9.997e-01,1.000e+00,1.005e+00
2.181e-01,9.997e-01,1.000e+00,1.005e+00
2.226e-01,9.997e-01,1.000e+00,1.005e+00
2.272e-01,9.996e-01,1.000e+00,1.005e+00
2.317e-01,9.996e-01,1.000e+00,1.005e+00
2.363e-01,9.996e-01,1.000e+00,1.005e+00
2.408e-01,9.996e-01,1.000e+00,1.005e+00
2.453e-01,9.995e-01,1.000e+00,1.005e+00
2.499e-01,9.995e-01,1.000e+00,1.005e+00
