# t, x1, x2
0.000000000000000000e+00 -9.038232795242140583e+01 -8.977060322854714514e+01
5.000000000000000104e-03 -9.045879354290568131e+01 -8.969413763806285544e+01
1.000000000000000021e-02 -9.053525913338995679e+01 -8.992353440951571031e+01
1.499999999999999944e-02 -9.045879354290568131e+01 -8.954120645709429027e+01
2.000000000000000042e-02 -9.022939677145282644e+01 -8.992353440951571031e+01
2.500000000000000139e-02 -9.191163976210704334e+01 -8.969413763806285544e+01
2.999999999999999889e-02 -9.022939677145282644e+01 -8.984706881903142062e+01
3.500000000000000333e-02 -9.022939677145282644e+01 -8.961767204757857996e+01
4.000000000000000083e-02 -9.007646559048427548e+01 -8.954120645709429027e+01
4.499999999999999833e-02 -8.938827527612572510e+01 -8.969413763806285544e+01
5.000000000000000278e-02 -9.045879354290568131e+01 -8.969413763806285544e+01
5.500000000000000028e-02 -9.015293118096855096e+01 -8.961767204757857996e+01
5.999999999999999778e-02 -9.015293118096855096e+01 -8.977060322854714514e+01
6.500000000000000222e-02 -9.045879354290568131e+01 -8.969413763806285544e+01
7.000000000000000666e-02 -9.145284621920136203e+01 -8.969413763806285544e+01
7.499999999999999722e-02 -9.015293118096855096e+01 -8.946474086661001479e+01
8.000000000000000167e-02 -8.999999999999997158e+01 -8.961767204757857996e+01
8.500000000000000611e-02 -9.015293118096855096e+01 -8.984706881903142062e+01
8.999999999999999667e-02 -9.015293118096855096e+01 -8.946474086661001479e+01
9.500000000000000111e-02 -9.038232795242140583e+01 -8.954120645709429027e+01
1.000000000000000056e-01 -9.030586236193710192e+01 -8.984706881903142062e+01
1.049999999999999961e-01 -9.030586236193710192e+01 -8.969413763806285544e+01
1.100000000000000006e-01 -9.053525913338995679e+01 -8.984706881903142062e+01
1.150000000000000050e-01 -9.045879354290568131e+01 -8.999999999999997158e+01
1.199999999999999956e-01 -9.030586236193710192e+01 -8.977060322854714514e+01
1.250000000000000000e-01 -9.015293118096855096e+01 -8.999999999999997158e+01
1.300000000000000044e-01 -9.015293118096855096e+01 -9.061172472387424648e+01
1.350000000000000089e-01 -9.015293118096855096e+01 -8.984706881903142062e+01
1.400000000000000133e-01 -9.015293118096855096e+01 -8.961767204757857996e+01
1.449999999999999900e-01 -9.015293118096855096e+01 -8.961767204757857996e+01
1.499999999999999944e-01 -9.015293118096855096e+01 -8.961767204757857996e+01
1.549999999999999989e-01 -9.015293118096855096e+01 -8.954120645709429027e+01
1.600000000000000033e-01 -9.030586236193710192e+01 -8.954120645709429027e+01
1.650000000000000078e-01 -9.015293118096855096e+01 -8.961767204757857996e+01
1.700000000000000122e-01 -9.015293118096855096e+01 -8.984706881903142062e+01
1.749999999999999889e-01 -9.015293118096855096e+01 -8.954120645709429027e+01
1.799999999999999933e-01 -9.015293118096855096e+01 -8.969413763806285544e+01
1.849999999999999978e-01 -9.045879354290568131e+01 -8.984706881903142062e+01
1.900000000000000022e-01 -9.015293118096855096e+01 -8.984706881903142062e+01
1.950000000000000067e-01 -9.015293118096855096e+01 -8.954120645709429027e+01
2.000000000000000111e-01 -9.076465590484279744e+01 -8.938827527612572510e+01
2.049999999999999878e-01 -9.045879354290568131e+01 -8.961767204757857996e+01
2.099999999999999922e-01 -9.045879354290568131e+01 -8.954120645709429027e+01
2.149999999999999967e-01 -8.977060322854714514e+01 -8.923534409515715993e+01
2.200000000000000011e-01 -9.045879354290568131e+01 -8.992353440951571031e+01
2.250000000000000056e-01 -9.022939677145282644e+01 -8.969413763806285544e+01
2.300000000000000100e-01 -9.015293118096855096e+01 -8.961767204757857996e+01
